country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Togo,1400,2000,2600,3300,4300,5500,6800,8100,9400,11k,12k,13k,14k,15k,16k,16k,17k,17k,17k,17k,16k,15k,14k,13k,12k,12k,11k,10k,9500,8800,8300,7800,7200
Thailand,1400,2700,4300,6000,7900,9900,12k,14k,16k,17k,18k,18k,18k,18k,18k,17k,16k,15k,14k,13k,12k,11k,9600,8500,7300,6200,5200,4300,3600,2900,2500,2100,1700
Tunisia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200
Tanzania,53k,64k,75k,88k,100k,110k,120k,130k,140k,150k,150k,160k,160k,160k,160k,160k,160k,160k,160k,150k,140k,140k,130k,120k,120k,120k,110k,110k,100k,99k,91k,85k,79k
Uganda,84k,95k,110k,120k,130k,130k,140k,150k,150k,160k,160k,160k,160k,160k,160k,160k,160k,160k,150k,150k,150k,140k,130k,130k,120k,120k,120k,110k,110k,99k,93k,87k,80k
Uruguay,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,500,500,500,500
Venezuela,500,500,500,550,660,790,940,1100,1300,1600,1800,2100,2400,2900,3300,3900,4200,4500,4800,5000,5100,5300,5400,5400,5400,5400,5300,5200,5000,4700,4400,4300,4100
Vietnam,100,100,100,200,500,500,610,830,1100,1400,1700,2000,2400,2700,3100,3400,3600,3700,3900,4000,4200,4500,4700,4900,5000,5100,5100,5000,4800,4500,4300,4000,3800
Yemen,100,100,100,100,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,510,530,540
South Africa,9400,15k,24k,35k,49k,66k,85k,110k,130k,150k,180k,200k,230k,250k,280k,300k,310k,330k,340k,350k,350k,360k,360k,360k,360k,350k,340k,330k,310k,290k,270k,250k,230k
Zambia,28k,35k,42k,50k,57k,65k,72k,79k,85k,91k,96k,100k,110k,110k,110k,110k,110k,110k,100k,100k,100k,98k,96k,94k,91k,89k,88k,85k,82k,78k,73k,70k,66k
Zimbabwe,51k,65k,78k,92k,100k,120k,130k,140k,150k,160k,160k,170k,170k,180k,180k,180k,180k,180k,170k,170k,160k,160k,150k,140k,140k,130k,120k,110k,110k,98k,90k,82k,75k
